데이터,라벨,1 평어,2 왕,3 신하
쓰겠습니까,,,,
뿐입니다,,,,
것입니다,,,,
하등입니다,,,,
되겠습니까,,,,
것입니다,,,,
것이었다,,,,
안치(安置)하였다,,,,
없다,,,,
때문이었다,,,,
때문이었다,,,,
명령하였다,,,,
여긴다,,,,
하라,,,,
"""",,,,
명하였다,,,,
것이다,,,,
하라,,,,
"""",,,,
말하였다,,,,
말라,,,,
"""",,,,
안다,,,,
말하였다,,,,
같습니다,,,,
것입니다,,,,
섞입니다,,,,
있습니다,,,,
같습니다,,,,
합니다,,,,
옳겠습니까,,,,
살피소서,,,,
"""",,,,
상언(上言)하였다,,,,
않겠습니까,,,,
생각하소서,,,,
말하였다,,,,
말이냐,,,,
않았다,,,,
참예하였다,,,,
올리었다,,,,
깨달았도다,,,,
"""",,,,
살폈다,,,,
올리었다,,,,
못하옵니다,,,,
말하였다,,,,
우는가,,,,
그만두었다,,,,
상서하였다,,,,
된다,,,,
것입니다,,,,
쓰겠습니까,,,,
뿐입니다,,,,
없습니다,,,,
없습니다,,,,
나오겠습니까,,,,
것입니다,,,,
말하였다,,,,
하였다,,,,
일이겠느냐,,,,
아뢰라,,,,
아뢰었다,,,,
하소서,,,,
따랐다,,,,
졸(卒)하였다,,,,
아들이다,,,,
좋아하였다,,,,
이르렀다,,,,
없다,,,,
하였다,,,,
물었다,,,,
하였다,,,,
되었다,,,,
있었다,,,,
없었다,,,,
내었다,,,,
이르렀다,,,,
태워버렸다,,,,
섬멸하였다,,,,
되었다,,,,
것이다,,,,
제수하였다,,,,
추증(追贈)하였다,,,,
최해산(崔海山)이다,,,,
주라,,,,
하였다,,,,
법이었다,,,,
있다,,,,
이러하였다,,,,
두려워하노라,,,,
한다,,,,
것이다,,,,
하라,,,,
"""",,,,
상소하였다,,,,
의심이옵니다,,,,
것입니다,,,,
것입니다,,,,
마음이여,,,,
말씀이여,,,,
하였습니다,,,,
하였습니다,,,,
전하였습니다,,,,
못하였습니다,,,,
것입니다,,,,
일이겠습니까,,,,
아닙니다,,,,
까닭이옵니다,,,,
바입니다,,,,
있습니다,,,,
바입니다,,,,
것입니다,,,,
바입니다,,,,
주소서,,,,
말하였다,,,,
것이다,,,,
청하였다,,,,
것이다,,,,
올리라,,,,
"""",,,,
상언(上言)하였다,,,,
하옵니다,,,,
일어납니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
있겠습니까,,,,
것입니다,,,,
것뿐입니다,,,,
두렵습니다,,,,
있겠습니까,,,,
하소서,,,,
합니다,,,,
생각하소서,,,,
아니하였다,,,,
상소하였다,,,,
것입니다,,,,
것입니다,,,,
하라,,,,
않는다,,,,
방책입니다,,,,
방법입니다,,,,
아니하옵니까,,,,
하옵니다,,,,
있습니다,,,,
뿐이겠습니까,,,,
이릅니다,,,,
삼으소서,,,,
따랐다,,,,
상언(上言)하였다,,,,
드리옵니다,,,,
원수입니다,,,,
죽였습니다,,,,
평안하여졌습니다,,,,
것입니다,,,,
것입니다,,,,
없습니다,,,,
하옵니다,,,,
아니하였다,,,,
상언(上言)하였다,,,,
까닭입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
다릅니다,,,,
됩니다,,,,
따랐다,,,,
말하였다,,,,
있다,,,,
삼았다,,,,
말하였다,,,,
하소서,,,,
"""",,,,
보고하였다,,,,
정표(旌表)하소서,,,,
따랐다,,,,
처하였다,,,,
한다,,,,
것이다,,,,
때문이었다,,,,
상언(上言)하였다,,,,
없습니다,,,,
않았다,,,,
된다,,,,
하였습니다,,,,
없습니다,,,,
비슷하였습니다,,,,
없습니다,,,,
있습니까,,,,
하소서,,,,
아닙니다,,,,
감동되겠습니까,,,,
하소서,,,,
"""",,,,
처하였다,,,,
모의한다,,,,
올려보냈다,,,,
청하였다,,,,
의심하겠는가,,,,
하였다,,,,
상언(上言)하였다,,,,
하소서,,,,
하였다,,,,
말하였다,,,,
없습니다,,,,
"""",,,,
돌아왔다,,,,
이러하다,,,,
올립니다,,,,
뿐입니다,,,,
없습니다,,,,
염려됩니다,,,,
낫다,,,,
헤아리소서,,,,
않겠습니다,,,,
받았습니다,,,,
같습니다,,,,
없습니다,,,,
기원하겠습니다,,,,
살피소서,,,,
못합니다,,,,
"""",,,,
유배시켰다,,,,
말하였다,,,,
여겼다,,,,
까닭이냐,,,,
대답하였다,,,,
않겠습니까,,,,
분부하였다,,,,
상언(上言)하였다,,,,
하소서,,,,
하소서,,,,
"""",,,,
아뢰었다,,,,
심하옵니다,,,,
하소서,,,,
"""",,,,
아뢰었다,,,,
이러하다,,,,
있습니다,,,,
하소서,,,,
방비하소서,,,,
것입니다,,,,
아픕니다,,,,
하소서,,,,
윤허하였다,,,,
말하였다,,,,
하라,,,,
이문(移文)하였다,,,,
하라,,,,
하라,,,,
하라,,,,
"""",,,,
하였다,,,,
이러하였다,,,,
휘(諱),,,,
왔다,,,,
것이다,,,,
것이냐,,,,
알라,,,,
황공하옵니다,,,,
하였다,,,,
알았습니다,,,,
되었습니다,,,,
합니다,,,,
"""",,,,
만났다,,,,
예의겠는가,,,,
되었다,,,,
용서하였다,,,,
전교하였다,,,,
하라,,,,
삼았다,,,,
어떠냐,,,,
없습니다,,,,
하였다,,,,
보고하였다,,,,
죽였습니다,,,,
"""",,,,
분부하였다,,,,
하라,,,,
사람이다,,,,
칭찬하였다,,,,
사람이다,,,,
않았다,,,,
있는가,,,,
않았다,,,,
다하였다,,,,
칭찬하였다,,,,
사람이다,,,,
않았다,,,,
마쳤다,,,,
않았다,,,,
않았다,,,,
하였다,,,,
절부이었다,,,,
하였다,,,,
마소서,,,,
윤허하였다,,,,
졸(卒)하였다,,,,
아들이다,,,,
이르렀다,,,,
말하였다,,,,
주시오,,,,
삼았다,,,,
못하였다,,,,
죽었다,,,,
있다,,,,
보내었다,,,,
죽었다,,,,
하라,,,,
하였다,,,,
하였습니다,,,,
모릅니다,,,,
하였습니다,,,,
못하였습니다,,,,
보고하였습니다,,,,
하였습니다,,,,
압송하나이다,,,,
"""",,,,
사은(謝恩)하였다,,,,
이러하였다,,,,
한다,,,,
적다,,,,
한다,,,,
사실이다,,,,
않는다,,,,
돌려보낸다,,,,
경사입니다,,,,
하옵니다,,,,
보내었다,,,,
깊습니다,,,,
"""",,,,
상소하였다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
지극하였습니다,,,,
까닭입니다,,,,
되었습니다,,,,
있겠습니까,,,,
아니겠습니까,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
돌아왔다,,,,
이러하였다,,,,
없다,,,,
한다,,,,
않겠는가,,,,
것이다,,,,
누구냐,,,,
포로라,,,,
군자이었다,,,,
않습니까,,,,
것입니다,,,,
것이다,,,,
것이다,,,,
말라,,,,
하였다,,,,
하라,,,,
하였습니다,,,,
"""",,,,
전하였다,,,,
이러하였다,,,,
계책이었는가,,,,
것인가,,,,
하라,,,,
하였습니다,,,,
"""",,,,
말하였다,,,,
죽었습니다,,,,
"""",,,,
아뢰었다,,,,
다하겠습니다,,,,
하였다,,,,
숙배(肅拜)하였다,,,,
말하였다,,,,
왔느냐,,,,
대답하였다,,,,
하옵니다,,,,
말하였다,,,,
아니다,,,,
것이다,,,,
알려라,,,,
없겠는가,,,,
말하라,,,,
물러갔다,,,,
하였다,,,,
졸(卒)하였다,,,,
막내아들이다,,,,
잘하였다,,,,
나타내었었다,,,,
한다,,,,
않았다,,,,
좋았었다,,,,
37세였다,,,,
여기었다,,,,
되었다,,,,
정하였다,,,,
하였다,,,,
주었다,,,,
이러하였다,,,,
힘써왔다,,,,
이것이다,,,,
것이다,,,,
것이다,,,,
하라,,,,
처결(處決)하라,,,,
전송하였다,,,,
말하였다,,,,
금하겠습니다,,,,
허락하였다,,,,
않았다,,,,
놓치겠는가,,,,
왔다,,,,
기다렸다,,,,
돌려보내었다,,,,
분부하였다,,,,
말라,,,,
"""",,,,
베풀었다,,,,
없습니다,,,,
진언(進言)하였다,,,,
여기었다,,,,
유시하였다,,,,
하라,,,,
"""",,,,
말하였다,,,,
것입니다,,,,
대답하였다,,,,
하시오,,,,
말하였다,,,,
참말이옵니까,,,,
않겠소,,,,
하였다,,,,
보내었다,,,,
없습니다,,,,
일으키겠습니까,,,,
아니옵니다,,,,
어렵습니다,,,,
기다리겠나이다,,,,
"""",,,,
분부하였다,,,,
하라,,,,
"""",,,,
하라,,,,
않겠습니까,,,,
하였다,,,,
마옵소서,,,,
다행하겠습니다,,,,
떠나갔다,,,,
분부하였다,,,,
하라,,,,
미치리라,,,,
"""",,,,
돌려보냈다,,,,
척이었다,,,,
척이었다,,,,
되었다,,,,
하옵소서,,,,
없습니다,,,,
하라,,,,
어떻겠습니까,,,,
아닙니다,,,,
하였다,,,,
왔다,,,,
이러하였다,,,,
때문일까,,,,
못합니다,,,,
있습니다,,,,
하였다,,,,
것이다,,,,
옮깁니다,,,,
"""",,,,
행차하였다,,,,
뜻이냐,,,,
거둥하였다,,,,
왔다,,,,
청합니다,,,,
있다,,,,
제도이다,,,,
않았다,,,,
바이다,,,,
행하였다,,,,
더하겠는가,,,,
없다,,,,
나라이다,,,,
않겠는가,,,,
없다,,,,
하라,,,,
하라,,,,
하였습니다,,,,
것이었다,,,,
것이었다,,,,
일이었던가,,,,
것이었다,,,,
적었다,,,,
무례하였다,,,,
않겠다,,,,
돌려보내겠다,,,,
하였습니다,,,,
것이다,,,,
보았다,,,,
칭찬했다,,,,
주었다,,,,
상언(上言)하였다,,,,
"""1",,,,
2,,,,
3,,,,
징계하소서,,,,
"""",,,,
하옵니다,,,,
하겠는가,,,,
용서하라,,,,
죽었다,,,,
이러하였다,,,,
하라,,,,
부당하다,,,,
보내라,,,,
하였습니다,,,,
"""",,,,
청하였다,,,,
"""1",,,,
것,,,,
1,,,,
것,,,,
1,,,,
하소서,,,,
하소서,,,,
"""",,,,
매기소서,,,,
따랐다,,,,
권장하소서,,,,
하소서,,,,
윤허하였다,,,,
하옥시켰다,,,,
죽었다,,,,
못했다,,,,
내보냈다,,,,
상언(上言)하였다,,,,
못합니다,,,,
것입니다,,,,
아니하였다,,,,
졸(卒)하였다,,,,
하였다,,,,
아들이다,,,,
합격하였다,,,,
되었다,,,,
뽑았다,,,,
합격하였다,,,,
더하였다,,,,
등용되었다,,,,
이르렀다,,,,
되었다,,,,
하사받았다,,,,
하사받았다,,,,
겸했다,,,,
다했다,,,,
않았다,,,,
일어났다,,,,
탄복했다,,,,
했다,,,,
들었다,,,,
대답하였다,,,,
아닙니다,,,,
생각하옵소서,,,,
하였다,,,,
아뢰었다,,,,
만들겠습니까,,,,
면했다,,,,
사면하였다,,,,
돌아갔다,,,,
많았다,,,,
했다,,,,
하였다,,,,
삼았다,,,,
삼았다,,,,
말하였다,,,,
있다,,,,
하였다,,,,
시켰다,,,,
알리라,,,,
합니다,,,,
하였다,,,,
말이냐,,,,
하였다,,,,
같다,,,,
하였다,,,,
사람이다,,,,
않더라,,,,
있었겠는가,,,,
하였다,,,,
폄척(貶斥)당하였다,,,,
임금님이시다,,,,
하였다,,,,
것이다,,,,
했다,,,,
봉했다,,,,
않았습니까,,,,
하셨습니까,,,,
하였다,,,,
것이었다,,,,
알리겠는가,,,,
전별하였다,,,,
것이오,,,,
하였다,,,,
생겼다,,,,
않으오,,,,
돌아갔다,,,,
관대하였다,,,,
않았다,,,,
간절했었다,,,,
나왔다,,,,
못했다,,,,
자연스러웠다,,,,
않았다,,,,
받았다,,,,
없었다,,,,
하였다,,,,
되었다,,,,
왔다,,,,
맞았다,,,,
하여라,,,,
것이다,,,,
이러하였다,,,,
【모(某),,,,
하라,,,,
전한다,,,,
"""",,,,
하였다,,,,
이러하였다,,,,
그만두라,,,,
있다,,,,
못합니다,,,,
"""",,,,
하였다,,,,
없었다,,,,
있는가,,,,
것이다,,,,
못했다,,,,
하소서,,,,
중지하였다,,,,
꾸짖었다,,,,
까닭인가,,,,
기다리라,,,,
"""",,,,
돌아갔다,,,,
돌아왔다,,,,
주달하였다,,,,
재촉한다,,,,
하였습니다,,,,
한다,,,,
하였습니다,,,,
합니다,,,,
하였나이다,,,,
모멸했겠습니까,,,,
없습니다,,,,
불쌍하옵니다,,,,
주소서,,,,
"""",,,,
응한다,,,,
극언(極言)하였다,,,,
물었다,,,,
일인가,,,,
옮기겠는가,,,,
대답하였다,,,,
것이옵니다,,,,
대답하였다,,,,
것입니다,,,,
말하였다,,,,
하였다,,,,
대답하였다,,,,
있습니다,,,,
보내었다,,,,
말하였다,,,,
복명(復命)하겠는가,,,,
싫어하겠는가,,,,
왔다,,,,
의논하였다,,,,
대비하소서,,,,
"""",,,,
상언(上言)하였다,,,,
없습니다,,,,
더합니다,,,,
같습니다,,,,
다행이겠습니다,,,,
하였다,,,,
명령하였다,,,,
하라,,,,
"""",,,,
물었다,,,,
하였느냐,,,,
까닭인가,,,,
가두었다,,,,
탄핵하였다,,,,
정하였다,,,,
이르겠는가,,,,
주었다,,,,
상언(上言)하였다,,,,
없습니다,,,,
정하소서,,,,
"""",,,,
상언(上言)하였다,,,,
아닙니다,,,,
하였습니다,,,,
있사옵니까,,,,
못되옵니다,,,,
있습니다,,,,
것입니다,,,,
수응하시렵니까,,,,
아파합니다,,,,
대비하소서,,,,
아뢰었다,,,,
공수(公收)하소서,,,,
윤허하였다,,,,
아뢰었다,,,,
같았습니다,,,,
없었습니다,,,,
광대하였습니다,,,,
삼으소서,,,,
윤허하였다,,,,
않습니다,,,,
파하였다,,,,
명하였다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
것입니다,,,,
못하겠습니다,,,,
합니다,,,,
일이겠습니다,,,,
여기었다,,,,
명하였다,,,,
말라,,,,
"""",,,,
상언하였다,,,,
것입니다,,,,
않겠습니까,,,,
하소서,,,,
윤허하였다,,,,
말하였다,,,,
않는가,,,,
대답하였다,,,,
아닙니다,,,,
말하였다,,,,
못하다,,,,
말라,,,,
"""",,,,
것이다,,,,
없다,,,,
하였다,,,,
아들이다,,,,
올랐다,,,,
나왔다,,,,
제수하였다,,,,
편수하였다,,,,
하였다,,,,
것입니다,,,,
보내었다,,,,
하였다,,,,
입었었다,,,,
말하였다,,,,
입었는가,,,,
하였다,,,,
당하였다,,,,
하였다,,,,
정효문(鄭孝文)·정효충(鄭孝忠)이다,,,,
아들이다,,,,
이르렀다,,,,
가하였다,,,,
칙유(勅諭)하였다,,,,
당하였다,,,,
합니다,,,,
하였다,,,,
증직하였다,,,,
김허(金虛)이다,,,,
명하였다,,,,
보라,,,,
"""",,,,
말하였다,,,,
아뢰라,,,,
"""",,,,
왔다,,,,
이러하였다,,,,
도리이겠는가,,,,
것이다,,,,
살피라,,,,
"""",,,,
청하였다,,,,
바랍니다,,,,
윤허하였다,,,,
되었다,,,,
못하였다,,,,
못하였었다,,,,
갈지어다,,,,
거행하라,,,,
아아,,,,
공경할지어다,,,,
하였다,,,,
상서(上書)하였다,,,,
되었습니다,,,,
보존하였습니다,,,,
주심이라,,,,
없습니다,,,,
부끄럽습니다,,,,
것입니다,,,,
없습니다,,,,
포장(鋪張)하였습니다,,,,
것입니다,,,,
되었습니다,,,,
것입니다,,,,
있겠습니까,,,,
살피시옵소서,,,,
땅입니다,,,,
것입니다,,,,
것입니다,,,,
성전(盛典)이었습니다,,,,
않았습니다,,,,
아니겠습니까,,,,
있었다,,,,
것입니다,,,,
못하겠습니다,,,,
없사옵니다,,,,
말하였다,,,,
것이다,,,,
청하였었다,,,,
보냈다,,,,
이러하였다,,,,
하오,,,,
것이오,,,,
"""",,,,
회답하였다,,,,
모르겠습니다,,,,
하겠습니까,,,,
말하겠습니까,,,,
하소서,,,,
다행하겠습니다,,,,
"""",,,,
상언(上言)하였다,,,,
어렵습니다,,,,
"서용하옵소서""",,,,
상언(上言)하였다,,,,
하옵소서,,,,
하였다,,,,
이러하였다,,,,
잘하옵니다,,,,
자행하였습니다,,,,
있습니다,,,,
무리입니다,,,,
몰수하옵소서,,,,
하였다,,,,
하였다,,,,
탄핵하였다,,,,
못하였다,,,,
말하였다,,,,
오래였습니다,,,,
말하였다,,,,
무엇이냐,,,,
불가하다,,,,
아뢰었다,,,,
버리시옵니까,,,,
풀어주었다,,,,
상언(上言)하였다,,,,
않았습니다,,,,
하소서,,,,
하소서,,,,
하소서,,,,
것입니다,,,,
하소서,,,,
하옵소서,,,,
1,,,,
큽니다,,,,
과중하옵니다,,,,
것,,,,
1,,,,
편입하소서,,,,
따랐다,,,,
있었다,,,,
말하였다,,,,
섬기었다,,,,
하였다,,,,
청하였다,,,,
하소서,,,,
"""",,,,
마지않습니다,,,,
하였다,,,,
상언(上言)하였다,,,,
행하소서,,,,
말하였다,,,,
것이다,,,,
"""",,,,
명하였다,,,,
한다,,,,
한다,,,,
한다,,,,
"""",,,,
돌아왔다,,,,
말하였다,,,,
슬펐노라,,,,
것이다,,,,
까닭일까,,,,
누구겠는가,,,,
아니겠는가,,,,
것이다,,,,
어떻겠는가,,,,
슬프다,,,,
노래한다,,,,
않겠는가,,,,
회련(懷戀)하는가,,,,
것이다,,,,
말하였다,,,,
국왕(朝鮮國王)이여,,,,
난다,,,,
하였다,,,,
【휘(諱),,,,
못하였다,,,,
떨어지겠는가,,,,
것이다,,,,
없다,,,,
보내라,,,,
돌려보내겠다,,,,
돌려보낸다,,,,
주라,,,,
돌려보낸다,,,,
보내겠다,,,,
즐겨한다,,,,
이루었네,,,,
것일세,,,,
없다,,,,
압록강(鴨綠江),,,,
상심한다,,,,
되었네,,,,
그리워한다,,,,
경장(更張)하였노,,,,
고경(古京),,,,
들린다,,,,
춘추(春秋)인가,,,,
되었네,,,,
전송한다,,,,
거둔다,,,,
지나며,,,,
것이었다,,,,
하였다,,,,
관계되네,,,,
옮겼소,,,,
서렸네,,,,
다했소,,,,
건설하였소,,,,
받드리이다,,,,
올랐습니다,,,,
말하오리,,,,
뿐입니다,,,,
합니다,,,,
통하고저,,,,
조공합니다,,,,
창성합니다,,,,
풍기네,,,,
모셨네,,,,
있네,,,,
있소,,,,
것입니다,,,,
하였소,,,,
있네,,,,
나눴는가,,,,
바라봅니다,,,,
알으리까,,,,
원합니다,,,,
강합니다,,,,
개척합니다,,,,
있으리,,,,
마소,,,,
것이오,,,,
없네,,,,
이었구나,,,,
슬퍼하리,,,,
무엇하리,,,,
듯,,,,
시절,,,,
하오,,,,
이름하였소,,,,
완악하다오,,,,
간사합니다,,,,
합니다,,,,
돌아오소서,,,,
섰네,,,,
듯,,,,
감추었네,,,,
씻고저,,,,
바칩니다,,,,
개척했네,,,,
있소,,,,
말씀하리,,,,
즐기오리다,,,,
피곤하였었소,,,,
못했습니다,,,,
이루었습니다,,,,
있었소,,,,
화친하였소,,,,
왔오,,,,
입었습니다,,,,
못했습니다,,,,
하였습니다,,,,
차갑습니다,,,,
나누옵니다,,,,
합니다,,,,
보전하였소,,,,
가련합니다,,,,
있네,,,,
들어갔다오,,,,
오고가오,,,,
마옵소서,,,,
안았소,,,,
청청합니다,,,,
가득합니다,,,,
그것입니다,,,,
이름,,,,
세워졌네,,,,
움직이네,,,,
가벼웁다,,,,
되옵던가,,,,
적으리라,,,,
이름,,,,
가볍도다,,,,
흥청함일세,,,,
놀랍구나,,,,
은정이어라,,,,
이름,,,,
유연(悠然)하다,,,,
연하였네,,,,
읊었도다,,,,
사양하리,,,,
있었소,,,,
이름,,,,
자랑한다,,,,
붙들었소,,,,
멋이어라,,,,
뿐입니다,,,,
이름,,,,
접했도다,,,,
배불렀네,,,,
축원하오,,,,
걸어온다,,,,
보올건가,,,,
장할시고,,,,
밝았어라,,,,
돌아왔다네,,,,
하였다,,,,
하였다,,,,
것이었다,,,,
않겠다,,,,
이러하였다,,,,
것이다,,,,
온전하여졌도다,,,,
소인이었는가,,,,
것이다,,,,
되겠는가,,,,
말하였다,,,,
않는다,,,,
있겠는가,,,,
것이다,,,,
하라,,,,
"""",,,,
상언하였다,,,,
과죄(科罪)하소서,,,,
용서하였다,,,,
논핵하였다,,,,
합니다,,,,
것이었다,,,,
가두었다,,,,
썼었다,,,,
가한가,,,,
것이다,,,,
불태웠다,,,,
아니었다,,,,
석방하였다,,,,
전하였다,,,,
이러하였다,,,,
절근(切近)하다,,,,
못하였다,,,,
되었다,,,,
생각하였다,,,,
있었다,,,,
것이다,,,,
있겠는가,,,,
법이다,,,,
하라,,,,
하였다,,,,
말하였다,,,,
화수(禍首)이다,,,,
드물었다,,,,
까닭인가,,,,
까닭이다,,,,
나라였다,,,,
군자로구나,,,,
자산이여,,,,
때문이다,,,,
때문인가,,,,
있겠는가,,,,
【휘(諱),,,,
주는가,,,,
것이다,,,,
것이다,,,,
살피지어다,,,,
것이다,,,,
하였다,,,,
전하였다,,,,
정하겠다,,,,
모른다,,,,
것이냐,,,,
입겠다,,,,
하였다,,,,
없다,,,,
하였다,,,,
들어왔다,,,,
말하였다,,,,
있다,,,,
하였다,,,,
부딪치겠다,,,,
하였다,,,,
오라,,,,
주었다,,,,
것인가,,,,
썼다,,,,
않겠다,,,,
있겠는가,,,,
모르겠다,,,,
썼었습니다,,,,
무시하는가,,,,
없다,,,,
하였습니다,,,,
없다,,,,
왔습니다,,,,
있겠습니까,,,,
않습니다,,,,
하였습니다,,,,
정하겠는가,,,,
이루어지겠는가,,,,
가속이겠는가,,,,
데려가라,,,,
가라,,,,
태워버렸다,,,,
가라,,,,
말하라,,,,
것이다,,,,
휘(諱),,,,
좋다,,,,
돌려보낸다,,,,
말라,,,,
것이다,,,,
있겠는가,,,,
하였습니다,,,,
"""",,,,
탄핵하였다,,,,
않았다,,,,
아뢰었다,,,,
하겠습니다,,,,
청하였다,,,,
말하였다,,,,
없다,,,,
말하였다,,,,
것입니다,,,,
허락하였다,,,,
있었다,,,,
말하였다,,,,
마소서,,,,
않았다,,,,
주었다,,,,
말하였다,,,,
같습니다,,,,
국문하소서,,,,
말하였다,,,,
아는가,,,,
말하였다,,,,
얻겠습니까,,,,
말하였다,,,,
없으랴,,,,
못하였다,,,,
말하였다,,,,
있다,,,,
청하는가,,,,
못하였다,,,,
무고하였었다,,,,
내렸다,,,,
힘쓰라,,,,
"""",,,,
말하였다,,,,
"""1",,,,
없습니다,,,,
다하소서,,,,
1,,,,
하소서,,,,
1,,,,
없습니다,,,,
청납(聽納)하소서,,,,
1,,,,
것입니다,,,,
하소서,,,,
1,,,,
것입니다,,,,
하소서,,,,
1,,,,
징계하소서,,,,
1,,,,
하소서,,,,
1,,,,
없습니다,,,,
지극합니다,,,,
것입니다,,,,
1,,,,
대비하소서,,,,
1,,,,
아닙니다,,,,
하소서,,,,
시행하였다,,,,
전지(傳旨)하였다,,,,
없다,,,,
"""",,,,
말하였다,,,,
주소서,,,,
주었다,,,,
상언하였다,,,,
붙이소서,,,,
따랐다,,,,
말하였다,,,,
못했는가,,,,
말하였다,,,,
받는가,,,,
말하였다,,,,
하였겠는가,,,,
것이리라,,,,
파직시켰다,,,,
상언하였다,,,,
과죄하소서,,,,
따랐다,,,,
상언하였다,,,,
악합니다,,,,
처결하소서,,,,
따랐다,,,,
청하였다,,,,
죄입니다,,,,
하였다,,,,
이첩(移牒)하였다,,,,
아뢰라,,,,
"""",,,,
이르렀다,,,,
없었다,,,,
이르렀다,,,,
영접하였다,,,,
말하였다,,,,
어찌하겠는가,,,,
보내었다,,,,
말하였다,,,,
대답하시렵니까,,,,
말하였다,,,,
지겠소,,,,
말하였다,,,,
아셨습니까,,,,
말하였다,,,,
있겠는가,,,,
말하였다,,,,
생각하는가,,,,
명하였다,,,,
이송(移送)하라,,,,
명하였다,,,,
구제하라,,,,
보냈다,,,,
갖추었다,,,,
휘둘렀다,,,,
되었다,,,,
이르렀다,,,,
수판(受判)하였다,,,,
서용(敍用)하라,,,,
"""",,,,
달아났다,,,,
당하였다,,,,
명하였다,,,,
한다,,,,
하라,,,,
"""",,,,
이러하였다,,,,
가깝습니다,,,,
하소서,,,,
하였다,,,,
하였다,,,,
이러하였다,,,,
부치노라,,,,
않았다,,,,
뜻하였다,,,,
하였다,,,,
달아났다,,,,
것이다,,,,
죄인이다,,,,
다행하겠다,,,,
"""",,,,
말하였다,,,,
조사하라,,,,
"""",,,,
하였다,,,,
유시(諭示)하였다,,,,
아뢰었다,,,,
불가합니다,,,,
염려되옵니다,,,,
기뻐하였다,,,,
아뢰었다,,,,
없다,,,,
질책(叱責)하였다,,,,
아뢰었다,,,,
주었습니다,,,,
왔습니다,,,,
이러하였다,,,,
왔습니다,,,,
하였소,,,,
나라이다,,,,
것이다,,,,
행하였는가,,,,
없다,,,,
말라,,,,
하셨소,,,,
도모하소서,,,,
"""",,,,
하였다,,,,
있다,,,,
좌죄하라,,,,
도망하였다,,,,
목베었다,,,,
상언하였다,,,,
적몰(籍沒)하소서,,,,
따랐다,,,,
잡았습니다,,,,
바치었다,,,,
말하였다,,,,
없는가,,,,
하였다,,,,
상언하였다,,,,
않습니다,,,,
권장하소서,,,,
따랐다,,,,
편익(便益)하겠다,,,,
열거합니다,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
미편합니다,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
시행하소서,,,,
붙이라,,,,
윤허하였다,,,,
이러하였다,,,,
즐겁습니다,,,,
하옵니다,,,,
않으오리까,,,,
"""",,,,
상언(上言)하였다,,,,
하소서,,,,
하였다,,,,
명하였다,,,,
있다,,,,
생각하였다,,,,
하겠다,,,,
아뢰라,,,,
"""",,,,
말하였다,,,,
통제한다,,,,
말하였다,,,,
합니다,,,,
하였다,,,,
상언하였다,,,,
속공(屬公)하소서,,,,
윤허하였다,,,,
이첩(移牒)하였다,,,,
금단하라,,,,
하라,,,,
"""",,,,
상언하였다,,,,
않았습니다,,,,
있다,,,,
내쳤다,,,,
돌려보냈다,,,,
이러하였다,,,,
얻었습니다,,,,
않겠습니까,,,,
없사옵니다,,,,
뿐입니다,,,,
바랍니다,,,,
"""",,,,
진언(進言)하였다,,,,
없습니다,,,,
여기었다,,,,
명하였다,,,,
하라,,,,
"""",,,,
상언하였다,,,,
서용한다,,,,
하소서,,,,
따랐다,,,,
불렀다,,,,
말하였다,,,,
가한가,,,,
하라,,,,
"""",,,,
상언하였다,,,,
하소서,,,,
따랐다,,,,
내쫓았다,,,,
다르옵니다,,,,
하소서,,,,
하였다,,,,
되었다,,,,
올리었다,,,,
있었습니다,,,,
있습니다,,,,
것이라,,,,
있습니다,,,,
사유(赦宥)하라,,,,
것입니다,,,,
내리었다,,,,
내쫓았다,,,,
보내었다,,,,
않았구나,,,,
되었다,,,,
침장(沈葬)하였다,,,,
있습니다,,,,
하였다,,,,
하였다,,,,
청하였다,,,,
"""1",,,,
1,,,,
것입니다,,,,
1,,,,
1,,,,
것입니다,,,,
회복하소서,,,,
하소서,,,,
따랐다,,,,
상언(上言)하였다,,,,
친척입니다,,,,
없습니다,,,,
하소서,,,,
하였다,,,,
이러하였다,,,,
고한다,,,,
되었다,,,,
되었다,,,,
못하겠다,,,,
없겠다,,,,
한다,,,,
것이다,,,,
것이다,,,,
것이다,,,,
것이다,,,,
것이다,,,,
"""",,,,
진술하였다,,,,
"""1",,,,
1,,,,
때문입니다,,,,
하였습니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
때문입니다,,,,
1,,,,
있습니다,,,,
하소서,,,,
따랐다,,,,
삼았다,,,,
이러하였다,,,,
여기었다,,,,
한다,,,,
